amplitude,frequency
-103.5,3386000000
-103.1,3387000000
-102.9,3388000000
-102.9,3389000000
-103.2,3390000000
-103.2,3391000000
-103.2,3392000000
-103.2,3393000000
-103.3,3394000000
-103.8,3395000000
-103.8,3396000000
-103.5,3397000000
-103.3,3398000000
-103.4,3399000000
-105.4,3400000000
-105.4,3401000000
-105.5,3403000000
-105.5,3404000000
-106.1,3405000000
-106.1,3406000000
-105.5,3407000000
-105.9,3408000000
-105.9,3409000000
-105.7,3410000000
-105.7,3411000000
-105.2,3412000000
-105.3,3413000000
-105.8,3414000000
-105.8,3415000000
-105.5,3416000000
-105.5,3417000000
-105.0,3418000000
-105.0,3419000000
-105.5,3420000000
-105.5,3421000000
-105.8,3422000000
-105.8,3423000000
-105.8,3424000000
-105.8,3425000000
-105.8,3426000000
-105.6,3427000000
-105.6,3428000000
-105.4,3429000000
-105.8,3430000000
-105.8,3431000000
-106.0,3432000000
-106.0,3433000000
-105.8,3434000000
-105.6,3435000000
-105.6,3436000000
-105.4,3437000000
-105.7,3438000000
-106.0,3439000000
-106.0,3440000000
-105.3,3441000000
-105.2,3442000000
-106.0,3443000000
-106.1,3444000000
-106.1,3445000000
-105.4,3446000000
-106.1,3447000000
-106.1,3448000000
-105.8,3449000000
-105.8,3450000000
-105.9,3451000000
-105.9,3452000000
-105.7,3453000000
-105.7,3454000000
-106.0,3455000000
-106.0,3456000000
-105.3,3457000000
-105.7,3458000000
-105.9,3459000000
-105.9,3460000000
-105.6,3461000000
-106.0,3462000000
-106.0,3463000000
-106.0,3464000000
-105.2,3465000000
-105.5,3466000000
-105.5,3467000000
-105.5,3468000000
-105.5,3469000000
-105.4,3470000000
-105.7,3471000000
-106.0,3472000000
-106.0,3473000000
-105.0,3474000000
-105.3,3475000000
-105.3,3476000000
-105.8,3477000000
-105.8,3478000000
-105.9,3479000000
-105.9,3480000000
-105.9,3481000000
-105.9,3482000000
-106.1,3483000000
-106.1,3484000000
-105.7,3485000000
-105.7,3486000000
-105.4,3487000000
-105.6,3488000000
-105.6,3489000000
-105.5,3490000000
-105.8,3491000000
-105.8,3492000000
-105.8,3493000000
-105.2,3494000000
-105.7,3495000000
-105.9,3496000000
-105.9,3497000000
-105.8,3498000000
-105.8,3499000000
-105.8,3500000000
-104.7,3501000000
-103.3,3502000000
-103.3,3503000000
-103.1,3504000000
-103.1,3505000000
-103.1,3506000000
-103.0,3507000000
-103.1,3508000000
-103.1,3509000000
-102.6,3510000000
-102.6,3511000000
-103.4,3512000000
-103.4,3513000000
-103.0,3514000000
-103.0,3515000000
-103.2,3516000000
-103.2,3517000000
-103.1,3518000000
-103.1,3519000000
-103.4,3520000000
-103.4,3521000000
-103.3,3266000000
-103.1,3267000000
-102.8,3268000000
-102.8,3269000000
-102.8,3270000000
-102.8,3271000000
-103.1,3272000000
-103.1,3273000000
-103.0,3274000000
-103.0,3275000000
-102.9,3276000000
-102.8,3277000000
-103.3,3278000000
-103.3,3279000000
-102.7,3280000000
-102.9,3281000000
-102.9,3282000000
-102.6,3283000000
-103.0,3284000000
-103.1,3285000000
-103.1,3286000000
-103.0,3287000000
-103.1,3288000000
-103.1,3289000000
-103.1,3290000000
-103.7,3291000000
-103.7,3292000000
-102.8,3293000000
-102.8,3294000000
-102.6,3295000000
-103.0,3296000000
-103.0,3297000000
-102.9,3298000000
-103.3,3299000000
-103.3,3300000000
-102.9,3301000000
-102.9,3302000000
-103.3,3303000000
-103.3,3304000000
-103.4,3305000000
-103.4,3306000000
-102.8,3307000000
-102.8,3308000000
-102.7,3309000000
-102.9,3310000000
-102.9,3311000000
-103.0,3312000000
-103.3,3313000000
-103.3,3314000000
-103.0,3315000000
-103.1,3316000000
-103.3,3317000000
-103.3,3318000000
-103.3,3319000000
-103.3,3320000000
-102.5,3321000000
-102.9,3322000000
-103.0,3323000000
-103.0,3324000000
-103.1,3325000000
-103.2,3326000000
-103.2,3327000000
-102.9,3328000000
-103.2,3329000000
-103.4,3330000000
-103.4,3331000000
-103.0,3332000000
-103.0,3333000000
-103.5,3334000000
-103.5,3335000000
-102.8,3336000000
-102.8,3337000000
-103.5,3338000000
-103.5,3339000000
-103.0,3340000000
-103.0,3341000000
-103.0,3342000000
-103.1,3343000000
-103.2,3344000000
-103.4,3345000000
-103.4,3346000000
-103.2,3347000000
-103.2,3348000000
-103.2,3349000000
-102.9,3350000000
-102.5,3351000000
-103.4,3352000000
-103.4,3353000000
-103.0,3354000000
-103.3,3355000000
-103.3,3356000000
-103.1,3357000000
-103.1,3358000000
-102.7,3359000000
-103.2,3360000000
-103.2,3361000000
-103.2,3362000000
-103.2,3363000000
-102.7,3364000000
-102.8,3365000000
-102.8,3366000000
-102.5,3367000000
-102.8,3368000000
-103.6,3369000000
-103.6,3370000000
-103.7,3371000000
-103.7,3372000000
-103.0,3373000000
-103.0,3374000000
-102.7,3375000000
-102.6,3376000000
-102.6,3377000000
-103.1,3378000000
-103.4,3379000000
-103.4,3380000000
-103.0,3381000000
-102.8,3382000000
-102.7,3383000000
-102.8,3384000000
-103.1,3385000000
-103.2,3386000000
-103.2,3387000000
-102.7,3388000000
-103.5,3389000000
-103.5,3390000000
-103.2,3391000000
-103.1,3392000000
-103.4,3393000000
-103.4,3394000000
-103.6,3395000000
-103.6,3396000000
-103.7,3397000000
-103.7,3398000000
-103.4,3399000000
-103.3,3400000000
-103.3,3401000000
-103.4,3658000000
-103.4,3659000000
-103.7,3660000000
-103.7,3661000000
-103.1,3662000000
-103.5,3663000000
-103.5,3664000000
-103.4,3665000000
-103.4,3666000000
-103.2,3667000000
-103.2,3668000000
-103.2,3669000000
-103.2,3670000000
-103.3,3671000000
-103.3,3672000000
-102.8,3673000000
-102.8,3674000000
-102.9,3675000000
-103.6,3676000000
-103.6,3677000000
-103.2,3678000000
-103.0,3679000000
-103.0,3680000000
-103.1,3681000000
-103.2,3682000000
-103.2,3683000000
-103.6,3684000000
-103.6,3685000000
-102.9,3686000000
-102.9,3687000000
-103.4,3688000000
-103.6,3689000000
-103.6,3690000000
-103.4,3691000000
-103.0,3692000000
-103.5,3693000000
-103.5,3694000000
-103.3,3695000000
-103.4,3696000000
-103.4,3697000000
-102.6,3698000000
-103.4,3699000000
-103.4,3700000000
-103.5,3701000000
-103.5,3702000000
-103.4,3703000000
-103.2,3704000000
-103.4,3705000000
-103.4,3706000000
-104.0,3707000000
-104.0,3708000000
-103.9,3709000000
-103.9,3710000000
-103.7,3711000000
-103.7,3712000000
-103.1,3713000000
-103.1,3714000000
-103.3,3715000000
-103.8,3716000000
-103.8,3717000000
-103.8,3718000000
-103.8,3719000000
-103.2,3720000000
-103.1,3721000000
-103.2,3722000000
-103.2,3723000000
-102.6,3724000000
-103.0,3725000000
-103.3,3726000000
-103.6,3727000000
-103.6,3728000000
-103.3,3729000000
-103.3,3730000000
-103.2,3731000000
-102.9,3732000000
-103.0,3733000000
-103.0,3734000000
-103.2,3735000000
-103.4,3736000000
-103.4,3737000000
-103.2,3738000000
-103.6,3739000000
-103.6,3740000000
-103.9,3741000000
-103.9,3742000000
-103.4,3743000000
-103.4,3744000000
-103.1,3745000000
-103.8,3746000000
-103.8,3747000000
-103.3,3748000000
-103.3,3749000000
-103.4,3750000000
-103.4,3751000000
-103.4,3752000000
-103.6,3753000000
-103.6,3754000000
-103.5,3755000000
-103.5,3756000000
-103.4,3757000000
-103.4,3758000000
-103.3,3759000000
-103.0,3760000000
-103.1,3761000000
-104.1,3762000000
-104.1,3763000000
-103.4,3764000000
-102.8,3765000000
-103.9,3766000000
-103.9,3767000000
-103.7,3768000000
-103.5,3769000000
-103.7,3770000000
-104.0,3771000000
-104.0,3772000000
-103.6,3773000000
-103.6,3774000000
-103.6,3775000000
-103.6,3776000000
-103.1,3265000000
-102.7,3266000000
-103.2,3267000000
-103.2,3268000000
-103.3,3269000000
-103.4,3270000000
-103.4,3271000000
-103.4,3272000000
-103.0,3273000000
-103.3,3274000000
-103.3,3275000000
-103.9,3276000000
-103.9,3277000000
-102.9,3278000000
-103.0,3279000000
-103.0,3280000000
-102.9,3281000000
-103.6,3282000000
-103.6,3283000000
-102.5,3284000000
-103.2,3285000000
-103.2,3286000000
-102.8,3287000000
-103.8,3288000000
-103.8,3289000000
-103.0,3290000000
-103.1,3291000000
-103.4,3292000000
-103.4,3293000000
-103.0,3294000000
-103.4,3295000000
-103.4,3296000000
-102.6,3297000000
-103.0,3298000000
-103.2,3299000000
-103.2,3300000000
-103.3,3301000000
-103.3,3302000000
-103.0,3303000000
-103.3,3304000000
-103.4,3305000000
-103.4,3306000000
-103.3,3307000000
-103.3,3308000000
-103.2,3309000000
-103.2,3310000000
-103.7,3311000000
-103.7,3312000000
-103.6,3313000000
-103.6,3314000000
-103.4,3315000000
-103.4,3316000000
-103.2,3317000000
-103.2,3318000000
-103.2,3319000000
-102.3,3320000000
-102.7,3321000000
-102.7,3322000000
-103.5,3323000000
-103.5,3324000000
-103.2,3325000000
-103.2,3326000000
-102.9,3327000000
-103.2,3328000000
-103.2,3329000000
-103.2,3330000000
-103.1,3331000000
-103.4,3332000000
-103.4,3333000000
-103.0,3334000000
-103.0,3335000000
-102.7,3336000000
-103.5,3337000000
-103.5,3338000000
-103.2,3339000000
-102.8,3340000000
-102.8,3341000000
-103.6,3342000000
-103.6,3343000000
-103.1,3344000000
-103.6,3345000000
-103.6,3346000000
-103.5,3347000000
-103.5,3348000000
-102.9,3349000000
-103.3,3350000000
-103.3,3351000000
-103.1,3352000000
-103.3,3353000000
-103.3,3354000000
-103.1,3355000000
-103.1,3356000000
-103.5,3357000000
-103.5,3358000000
-103.1,3359000000
-103.5,3360000000
-103.5,3361000000
-102.8,3362000000
-103.5,3363000000
-103.5,3364000000
-103.3,3365000000
-103.1,3366000000
-103.2,3367000000
-103.2,3368000000
-103.2,3369000000
-103.2,3370000000
-102.9,3371000000
-103.0,3372000000
-103.9,3373000000
-103.9,3374000000
-103.4,3375000000
-103.0,3376000000
-103.2,3377000000
-103.2,3378000000
-103.2,3379000000
-103.2,3380000000
-103.5,3386500000
-103.5,3387500000
-103.5,3388500000
-103.6,3389500000
-103.6,3390500000
-103.5,3391500000
-103.5,3392500000
-103.1,3393500000
-103.1,3394500000
-103.1,3395500000
-103.0,3396500000
-103.0,3397500000
-102.9,3398500000
-103.3,3399500000
-105.4,3400500000
-105.5,3401500000
-105.5,3403500000
-105.8,3404500000
-105.8,3405500000
-105.6,3406500000
-105.7,3407500000
-105.7,3408500000
-105.4,3409500000
-105.4,3410500000
-105.4,3411500000
-105.7,3412500000
-105.7,3413500000
-105.9,3414500000
-105.9,3415500000
-105.7,3416500000
-105.7,3417500000
-105.3,3418500000
-105.3,3419500000
-105.5,3420500000
-105.6,3421500000
-105.6,3422500000
-105.5,3423500000
-106.1,3424500000
-106.1,3425500000
-105.8,3426500000
-105.5,3427500000
-105.7,3428500000
-105.7,3429500000
-105.5,3430500000
-104.9,3431500000
-105.8,3432500000
-105.8,3433500000
-105.8,3434500000
-105.8,3435500000
-105.3,3436500000
-105.2,3437500000
-105.3,3438500000
-106.2,3439500000
-106.2,3440500000
-105.9,3441500000
-105.9,3442500000
-105.6,3443500000
-105.5,3444500000
-105.5,3445500000
-105.8,3446500000
-105.8,3447500000
-106.0,3448500000
-106.0,3449500000
-105.1,3450500000
-105.7,3451500000
-105.7,3452500000
-105.8,3453500000
-105.8,3454500000
-105.7,3455500000
-105.2,3456500000
-105.7,3457500000
-105.7,3458500000
-105.7,3459500000
-105.7,3460500000
-105.4,3461500000
-105.4,3462500000
-105.5,3463500000
-105.8,3464500000
-105.9,3465500000
-105.9,3466500000
-105.3,3467500000
-104.9,3468500000
-105.2,3469500000
-105.4,3470500000
-105.6,3471500000
-105.6,3472500000
-105.9,3473500000
-105.9,3474500000
-105.8,3475500000
-105.8,3476500000
-106.0,3477500000
-106.0,3478500000
-105.6,3479500000
-105.6,3480500000
-105.5,3481500000
-105.8,3482500000
-105.8,3483500000
-105.0,3484500000
-105.6,3485500000
-105.6,3486500000
-105.2,3487500000
-105.2,3488500000
-105.9,3489500000
-105.9,3490500000
-105.8,3491500000
-105.8,3492500000
-105.8,3493500000
-105.6,3494500000
-105.6,3495500000
-105.4,3496500000
-105.6,3497500000
-105.9,3498500000
-105.9,3499500000
-105.8,3500500000
-105.8,3501500000
-102.9,3502500000
-103.1,3503500000
-103.1,3504500000
-103.1,3505500000
-103.3,3506500000
-103.3,3507500000
-102.8,3508500000
-102.9,3509500000
-102.9,3510500000
-102.9,3511500000
-102.8,3512500000
-103.2,3513500000
-103.2,3514500000
-102.9,3515500000
-102.9,3516500000
-103.0,3517500000
-103.0,3518500000
-102.9,3519500000
-102.9,3520500000
-102.9,3521500000
-103.2,3266500000
-103.2,3267500000
-103.3,3268500000
-103.3,3269500000
-103.0,3270500000
-103.2,3271500000
-103.2,3272500000
-102.8,3273500000
-103.1,3274500000
-103.1,3275500000
-103.0,3276500000
-103.1,3277500000
-103.1,3278500000
-102.8,3279500000
-102.4,3280500000
-102.4,3281500000
-102.8,3282500000
-102.8,3283500000
-103.2,3284500000
-103.2,3285500000
-103.5,3286500000
-103.5,3287500000
-103.5,3288500000
-103.5,3289500000
-103.0,3290500000
-103.1,3291500000
-103.1,3292500000
-102.9,3293500000
-103.1,3294500000
-103.1,3295500000
-102.8,3296500000
-102.5,3297500000
-103.2,3298500000
-103.4,3299500000
-103.4,3300500000
-103.2,3301500000
-102.6,3302500000
-102.8,3303500000
-103.1,3304500000
-103.1,3305500000
-103.1,3306500000
-103.3,3307500000
-103.3,3308500000
-103.0,3309500000
-102.9,3310500000
-103.2,3311500000
-103.2,3312500000
-102.9,3313500000
-102.6,3314500000
-103.0,3315500000
-103.0,3316500000
-103.2,3317500000
-103.4,3318500000
-103.4,3319500000
-103.5,3320500000
-103.5,3321500000
-102.7,3322500000
-103.5,3323500000
-103.5,3324500000
-103.4,3325500000
-103.2,3326500000
-103.2,3327500000
-102.8,3328500000
-103.2,3329500000
-103.2,3330500000
-103.0,3331500000
-102.7,3332500000
-103.4,3333500000
-103.4,3334500000
-102.9,3335500000
-102.9,3336500000
-102.7,3337500000
-103.4,3338500000
-103.4,3339500000
-102.7,3340500000
-102.7,3341500000
-102.9,3342500000
-103.3,3343500000
-103.3,3344500000
-103.2,3345500000
-103.2,3346500000
-102.6,3347500000
-102.7,3348500000
-103.4,3349500000
-103.4,3350500000
-102.7,3351500000
-103.5,3352500000
-103.5,3353500000
-102.7,3354500000
-103.0,3355500000
-103.0,3356500000
-102.8,3357500000
-102.8,3358500000
-103.2,3359500000
-103.3,3360500000
-103.3,3361500000
-102.9,3362500000
-103.0,3363500000
-103.0,3364500000
-103.2,3365500000
-103.2,3366500000
-103.3,3367500000
-103.3,3368500000
-103.4,3369500000
-103.4,3370500000
-103.4,3371500000
-103.4,3372500000
-103.1,3373500000
-103.3,3374500000
-103.3,3375500000
-103.4,3376500000
-103.4,3377500000
-103.2,3378500000
-103.2,3379500000
-102.9,3380500000
-103.2,3381500000
